cycle length (s),got food at (s)
=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2018.06.29 15:37:55 PERIWINKLE FISH RECONDITION =~=~=~=~=~=~=~=~=~=~=~=
426,24.8160
975,14.5600
412,220.0570
=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2018.06.29 16:16:56 =~=~=~=~=~=~=~=~=~=~=~=
328,243.9230
572,142.5550
435,184.8290
898,126.1180
495,208.6599
450,53.0439
625,-1.0000
793,652.7061
526,296.7041
710,70.3179
=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2018.07.02 12:14:07 =~=~=~=~=~=~=~=~=~=~=~=
426,-1.0000
864,-1.0000
340,-1.0000
681,-1.0000
586,144.2341
517,312.5000
541,35.7820
615,268.2620
825,18.2051
725,37.3711
595,57.5869
986,58.2358
544,-1.0000
328,156.7803
